as_of_date,ticker,company_name,sector,price,fair_value_bear,fair_value_base,fair_value_bull,base_upside,dispersion,quality_score,opportunity_score,confidence_score,confidence,data_completeness,methods_used,pe,pb,dcf,comps,roe,net_margin,ebitda_margin,fcf_margin,debt_equity,eps_growth,revenue_growth,beta,discount_rate,discount_rate_source
2026-09-26,ABUK,,Materials & Chemicals,90.63492063492063,17.96306119452733,87.29192426380303,87.29192426380303,-0.03688419814017675,0.8325152647657675,79.0,66.2,89.6,Medium,100,3,13.837392463346662,4.920462575185701,17.96306119452733,87.29192426380303,0.43034162292401684,0.3877044732149779,0.4239088301418715,0.16276455539189083,0.0034205317958867568,-0.18675214924225159,-0.19283296081442047,,0.25,Fallback
2026-09-26,ACAP,,Unclassified,8.355441293110522,8.442112527401154,9.465077425159922,10.488042322918691,0.13280401275326428,0.21615563229087575,37.6,56.4,74.9,Medium,80,2,13.262605227159558,3.8327712353717986,,10.488042322918691,0.3831467661691542,,,,1.5093283582089552,-0.5433288596037058,,,0.25,Fallback
2026-09-26,ADIB,,Financials,51.0,35.73937113302991,47.366406490809496,58.993441848589086,-0.07124693155275498,0.49094015016889997,59.3,58.7,82.7,High,90,2,5.345911949685535,1.756198347107438,,,0.31871231054960675,0.5400365204553401,,-2.699055907377909,0.24501868708871208,-0.2331429239807583,-0.3050215422584154,,0.25,Fallback
2026-09-26,ALCN,,Industrials,33.493288590604024,7.535158361554552,8.864892190064179,10.194626018573805,-0.7353233270574967,,81.3,49.6,90.8,High,90,1,13.955536912751677,12.313709040663243,8.864892190064179,,0.8911514253980007,0.9421972860125261,,0.6394832985386222,0.004052819943230902,-0.27041748415797606,-0.17996249519174812,,0.25,Fallback
2026-09-26,AMES,,Healthcare,48.98192820345081,0.005386604269213967,4.427971287421934,4.427971287421934,-0.9095998983741522,1.6139961080285479,64.6,39.8,85.4,Medium,100,3,113.9114609382577,20.58064210229026,0.005386604269213967,4.427971287421934,0.1806205990364206,0.10878652597402598,0.17130681818181817,0.0002840909090909091,0.0704154172703076,-0.13353670915997207,-0.11001452188367344,,0.25,Fallback
2026-09-26,AMIA,,Unclassified,18.822100789313904,8.200909312332548,9.648128602744174,11.0953478931558,-0.48740426423484984,,35.7,43.5,87.1,High,100,1,26.14180665182487,5.53591199685703,,,0.2075068493150685,0.18309427880741339,0.2125503626107977,-0.3437792103142627,3.2515981735159816,-0.28989565312148535,-0.22867820034059982,,0.25,Fallback
2026-09-26,AMOC,,Unclassified,13.418604651162791,13.057473362264412,14.16683849163801,15.276203621011609,0.055760927453092586,0.15661435401108048,66.1,65.9,92.0,High,100,2,11.770705834353327,4.1288014311270125,,13.057473362264412,0.349146110056926,0.036819330148327875,0.03619400185097176,0.007849871182370745,0.006698292220113852,-0.21959181133878913,-0.23930814981761206,,0.25,Fallback
2026-09-26,ARAB,,Unclassified,0.22301255230125522,0.11390151822684094,0.13400178614922464,0.15410205407160832,-0.3991289514134204,,41.9,47.6,88.4,High,100,1,22.30125523012552,1.31183854294856,,,0.04009515928837402,0.060949685534591194,0.0730440251572327,-0.42563522012578614,1.1373603640877121,0.0,-0.08675037897698545,,0.25,Fallback
2026-09-26,ARCC,,Materials & Chemicals,67.00989676421159,26.6152624115843,119.67803658244917,119.67803658244917,0.7859755403528154,1.1165101478074027,71.6,84.3,86.8,Medium,100,3,5.786692293973367,5.239241342002471,26.6152624115843,119.67803658244917,0.910740354535975,0.3352011053116365,0.3987565244089653,0.14207859993859379,0.267570385818561,-0.6400203949643394,-0.2841497070118345,,0.25,Fallback
2026-09-26,ATQA,,Materials & Chemicals,12.608333333333333,1.2927477697296508,3.8108714895615936,6.328995209393536,-0.6977497827181816,1.3215474343490023,62.6,44.5,85.0,Medium,100,2,,6.335845896147403,6.328995209393536,1.2927477697296508,-0.025660377358490565,-0.011072914781979373,0.02825764429165913,0.2549303419576624,0.14929140461215934,,-0.15600133696049956,,0.25,Fallback
